Flag_state;flag_colour
Bermuda;white
Croatian register of shipping;white
Curacao;white
Dominica;white
Iceland;white
Israel;white
Lithuania;white
Palau;white
Portugal;white
Spain;white
United States;white
Vanuatu;white
Belize;white
Faroe Islands;white
France;white
Germany;white
Greece;white
Isle of Man;white
Republic of Korea;white
Luxembourg;white
Poland;white
Sweden;white
Ukraine;white
Belgium;white
Cook Islands;white
Denmark;white
Italy;white
Saint Kitts and Nevis;white
Saint Vincent and the Grenadines;white
Sierra Leone;white
Tanzania;white
Togo;white
Cambodia;white
Norway;white
Turkey;white
Bahamas;grey
Hong Kong;grey
Moldova;grey
Gibraltar;grey
Russia;grey
United Kongdom;grey
Comoros;grey
Singapore;grey
Cyprus;black
Marshall Islands;black
Netherlands;black
Liberia;black
Antigua and Barbuda;black
Malta;black
Panama;black
